Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C9,2,P,0,1,SM,0.0301,0.0331,5.0444,0.0772,6.7135,0.3299,1.3167,6.0771,1.7576,0.9291,0.0134,0.024,,0.4984,0.009,9.047,55.08,28,6.29,1890
BEF,C9,2,P,0,1,YB,0.0177,0.0402,11.8178,0.0435,5.9872,1.8392,3.0565,0.3031,2.0996,0.7667,0.0278,0.4568,,0.5025,0.0086,8.559,58.7,27,4.5,1890
BEF,C9,3,NP,1,1,BE,0.0282,0.0139,6.8362,0.035,5.236,0.2882,1.4516,5.8763,0.7945,0.6843,0.0129,0.0249,,0.5126,0.0076,7.606,67.4,27,5.47,1890
BEF,C9,3,NP,1,1,SM,0.0314,0.0264,4.3156,0.0499,5.7765,0.3031,1.1901,0.2642,1.2421,0.9767,0.0102,0.0221,,0.49143975,0.013205482,13.19581493,37.25242877,27,7.87,1890
BEF,C9,3,NP,1,1,YB,0.0173,0.03,8.204,0.0406,5.3291,0.8925,2.1974,0.2803,1.2596,0.6043,0.0186,0.2296,,0.507,0.0077,7.675,66.05,27,5.46,1890
BEF,C9,4,N,1,0,BE,0.0263,0.0145,5.0036,0.0466,3.9453,0.6191,1.3412,5.652,0.2657,0.8116,0.0095,0.0222,,0.5142,0.0063,6.343,81.07,27,5.93,1890
BEF,C9,4,N,1,0,SM,0.0298,0.0261,7.2643,0.0487,4.8687,0.4616,2.0459,0.2795,0.287,0.9004,0.0168,0.0234,,0.4956,0.0079,7.941,62.41,27,5.86,1890
BEF,C9,4,N,1,0,YB,0.0154,0.024,8.1577,0.0453,4.6793,0.9882,2.8727,5.8775,0.2745,0.7145,0.016,0.1614,,0.4988,0.01,10.019,49.79,27,4.58,1890
HB,HBCa,1,Ca,0,0,BE,0.0285,0.015,8.7315,0.0435,1.5323,1.413,0.6713,0.0139,0.3154,0.8418,0.0209,0.0302,,0.4998742,0.00585896,5.853959632,86.07406593,27,3.79,
HB,HBCa,1,Ca,0,0,SM,0.0221,0.0275,11.6609,0.0335,4.3136,0.8334,1.0587,0.0281,0.3954,1.1757,0.0449,0.022,,0.478433087,0.005003278,4.988278301,95.65300336,27,5.89,
HB,HBCa,1,Ca,0,0,YB,0.0174,0.0317,16.792,0.0493,4.6254,2.4505,1.1892,0.0428,0.7309,0.8531,0.0569,0.3288,,0.496504587,0.008356797,8.356797272,59.89489287,29,4.99,
HB,HBCa,2,Control,0,0,BE,0.0283,0.0205,8.1292,0.054,3.3338,1.3122,0.7312,0.0181,0.2072,0.914,0.0245,0.0326,,0.497962958,0.00664186,6.616859941,76.17081017,29,5.35,
HB,HBCa,2,Control,0,0,SM,0.0281,0.0359,7.1747,0.0304,3.4347,0.8139,1.0572,0.0227,0.1719,0.8298,0.0347,0.0229,,0.493492282,0.004645649,4.620648818,109.7279096,27,7.65,
HB,HBCa,2,Control,0,0,YB,0.0218,0.0447,13.6262,0.0531,4.9707,2.9465,1.2492,0.0308,0.3875,0.788,0.0611,0.3203,,0.494799576,0.009001395,8.976395255,55.2561993,27,4.03,
HB,HBM,1,NP,1,1,BE,0.0378,0.0273,6.2336,0.0533,2.3595,1.0729,1.9043,0.0188,0.8224,0.7559,0.0187,0.021,,0.501866712,0.006944223,6.919222528,72.28366706,12,1.68,1970
HB,HBM,1,NP,1,1,RM,0.0152,0.0176,5.8703,0.0566,3.0804,0.9241,1.4137,0.0228,1.8261,0.6221,0.014,0.0181,,0.506014818,0.007406316,7.401315876,68.62952991,20,8.58,1970
HB,HBM,1,NP,1,1,SM,0.0495,0.0306,4.6576,0.0375,3.3518,0.5827,1.7913,0.0194,0.4924,0.6404,0.0179,0.0165,,0.499916323,0.006265431,6.26043126,80.18462081,23,6.66,1970
HB,HBM,1,NP,1,1,WB,0.0174,0.0371,8.008,0.0427,3.4605,1.2394,1.9934,0.0207,0.8356,0.7003,0.0339,0.1697,,0.509542787,0.007237437,7.227437451,70.44302956,27,8.11,1970
HB,HBM,1,NP,1,1,YB,0.0211,0.0445,9.0039,0.0568,4.6592,1.6069,2.755,0.0294,1.7555,0.7755,0.0337,0.1893,,0.507996136,0.009974468,9.984467977,50.99484096,27,4.84,1970
HB,HBM,2,N,1,0,BE,0.0288,0.0183,4.1652,0.0669,4.5907,0.7737,1.195,0.0259,0.3912,0.8919,0.0098,0.0206,,0.505117669,0.009870885,9.870885431,51.27114246,20,3.92,1970
HB,HBM,2,N,1,0,RM,0.0129,0.0357,8.7378,0.0492,1.944,1.4463,2.3313,0.0135,0.2348,0.7295,0.0187,0.0329,,0.499106524,0.005411053,5.386052602,92.4870898,24,5.64,1970
HB,HBM,2,N,1,0,SM,0.0534,0.0402,5.3519,0.0624,2.741,0.5866,2.2803,0.0181,0.241,0.7743,0.0166,0.0229,,0.500262082,0.00685354,6.843539644,73.03685878,22,5.91,1970
HB,HBM,2,N,1,0,WB,0.0211,0.0228,5.169,0.0493,7.6122,0.8651,1.3034,0.0268,0.3332,0.8276,0.0181,0.159,,0.516512327,0.010820398,10.84039825,47.85913701,14,2.86,1970
HB,HBM,2,N,1,0,YB,0.0219,0.03,8.0862,0.0614,2.8143,1.7909,2.8786,0.0263,0.3845,0.7509,0.0269,0.1892,,0.518932546,0.011268422,11.28342215,46.09366777,29,6.48,1970
HB,HBM,3,Control,0,0,BE,0.031,0.0138,5.3189,0.0594,2.2708,0.9898,1.7035,0.0139,0.3042,0.7973,0.0152,0.0199,,0.510140835,0.00799073,8.000729663,63.84073603,27,4.35,1970
HB,HBM,3,Control,0,0,RM,0.0124,0.022,8.8796,0.0409,2.4632,1.2124,1.6158,0.0163,0.2561,0.6894,0.0282,0.0326,,0.498197047,0.004047871,4.027871013,123.6231584,29,9.62,1970
HB,HBM,3,Control,0,0,SM,0.0297,0.0259,6.2439,0.0317,2.7678,0.7819,1.9906,0.0209,0.2384,0.7163,0.027,0.0304,,0.502086412,0.006193727,6.18372653,81.37265973,28,7.93,1970
HB,HBM,3,Control,0,0,WB,0.0325,0.032,6.3244,0.0636,5.1098,1.2694,1.6087,0.017,0.4792,0.8009,0.0233,0.1476,,0.518656942,0.007614265,7.615931419,68.34476632,25,5.86,1970
HB,HBM,3,Control,0,0,YB,0.0196,0.0291,8.3319,0.0525,4.2826,1.8327,2.4033,0.0293,0.4146,0.7148,0.0333,0.2179,,0.514137882,0.009079094,9.075094392,56.67661,29,5.67,1970
HB,HBM,4,P,0,1,BE,0.0315,0.0307,7.0376,0.0589,5.2194,0.6718,2.5751,0.021,1.3735,0.6648,0.0225,0.0237,,0.495261736,0.005796409,5.776409028,85.44134121,28,4.46,1970
HB,HBM,4,P,0,1,RM,0.0144,0.0415,7.3957,0.0516,2.7121,0.8958,1.7349,0.0169,0.8107,0.6213,0.0206,0.015,,0.498192326,0.004701708,4.711707985,105.9785223,21,6.13,1970
HB,HBM,4,P,0,1,SM,0.0388,0.037,7.6424,0.0424,2.7376,1.0859,2.887,0.0229,2.7149,0.733,0.0309,0.0329,,0.496147926,0.005474065,5.459064507,90.64195805,27,7.16,1970
HB,HBM,4,P,0,1,WB,0.0317,0.0418,9.0104,0.045,9.5082,1.2542,2.3076,0.0326,1.547,0.7158,0.0417,0.2447,,0.502587292,0.007047722,7.042722494,71.31263571,26,6.08,1970
HB,HBM,4,P,0,1,YB,0.022,0.0371,10.4622,0.0639,3.596,2.0053,4.2398,0.0416,2.6972,0.9009,0.0373,0.2756,Duplicate,0.502994505,0.010048774,10.06377447,50.05649028,28,5.48,1970
HB,HBM,5,Ca,0,0,BE,0.0165,0.0142,7.958,0.0423,2.1216,0.6921,0.8344,0.0147,0.2717,0.7913,0.0169,0.0205,,0.50462149,0.007175497,7.16049688,70.34314683,28,6.22,1970
HB,HBM,5,Ca,0,0,SM,0.0374,0.0475,8.9521,0.0999,3.3965,0.4907,2.0972,0.0257,0.2133,1.0113,0.0197,0.0183,,0.488844924,0.005708682,5.698681789,85.65726852,29,6.51,1970
HB,HBM,5,Ca,0,0,WB,0.0257,0.0481,10.3439,0.0505,3.8504,1.0993,1.5882,0.0396,0.3824,0.992,0.023,0.1972,,0.513860397,0.01016776,10.16275971,50.54733077,11,1.87,1970
HB,HBM,5,Ca,0,0,YB,0.0199,0.0368,11.5525,0.0582,4.3399,1.3561,1.9115,0.0362,0.4111,0.8358,0.0285,0.174,,0.508061544,0.009888397,9.873397276,51.38043371,26,4.63,1970
HB,HBO,1,P,0,1,BE,0.0226,0.013,6.8915,0.0367,2.9587,1.321,0.8674,0.0201,1.7226,0.6155,0.0291,0.0289,,0.506802202,0.00623,6.245000267,81.36509414,27,4.01,1900
HB,HBO,1,P,0,1,SM,0.0304,0.04,7.8621,0.0304,4.4951,0.4625,1.8348,0.0242,1.7613,0.7477,0.0294,0.0286,,0.489277213,0.005030382,5.030382424,97.29572037,11,2.68,1900
HB,HBO,1,P,0,1,YB,0.0192,0.0427,11.1035,0.0521,5.0971,2.5804,1.5881,0.029,3.2369,0.7245,0.048,0.264,,0.499654703,0.008483568,8.473567521,58.91204982,29,4.91,1900
HB,HBO,2,N,1,0,BE,0.0205,0.015,6.6083,0.0455,0.7345,1.5776,0.7975,0.0138,0.2912,0.8345,0.0232,0.024,,0.514041476,0.009030647,9.005647494,56.92838612,27,4.02,1900
HB,HBO,2,N,1,0,SM,0.0449,0.0247,4.5542,0.0458,3.6318,0.9417,1.1434,0.0158,0.2274,0.6328,0.0178,0.024,,0.498564096,0.005774297,5.769296937,86.34565021,28,7.59,1900
HB,HBO,2,N,1,0,YB,0.0186,0.0311,8.2004,0.06,3.8532,2.0794,1.6603,0.029,0.3919,0.7886,0.0304,0.2372,,0.506249552,0.010999718,11.0047185,46.28161345,27,4.34,1900
HB,HBO,3,NP,1,1,BE,0.0302,0.0148,7.4784,0.0573,1.5719,1.3262,1.6927,0.012,0.8559,0.7902,0.0201,0.0305,,0.503230167,0.007920844,7.925843991,63.52989347,27,4.63,1900
HB,HBO,3,NP,1,1,RM,0.0112,0.0191,8.2235,0.0445,2.608,1.4204,1.0872,0.015,0.6985,0.675,0.0209,0.0333,,0.493769177,0.006010504,6.010503741,82.48530868,14,3.33,1900
HB,HBO,3,NP,1,1,SM,0.0434,0.0309,6.262,0.0346,2.2389,0.9434,1.4876,0.021,0.8729,0.6382,0.0223,0.0267,,0.50383617,0.006136477,6.15147662,82.18664905,20,4.16,1900
HB,HBO,3,NP,1,1,YB,0.0177,0.0263,7.6503,0.0501,2.9885,1.6263,1.6511,0.0274,1.2101,0.6587,0.0271,0.207,Duplicate,0.519618983,0.008769386,8.764385929,59.2595348,27,6.13,1900
HB,HBO,4,Control,0,0,BE,0.0247,0.018,7.4112,0.0415,1.71,1.5049,1.185,0.0181,0.2242,0.7399,0.0295,0.0258,,0.503819057,0.006373363,6.378363277,79.0522851,27,4.46,1900
HB,HBO,4,Control,0,0,SM,0.0258,0.03,5.4006,0.0317,1.8492,0.8788,1.498,0.0246,0.2132,0.761,0.0239,0.0383,,0.554440687,0.00543269,5.412689847,101.9228087,29,6.99,1900
HB,HBO,4,Control,0,0,YB,0.0108,0.0298,9.8396,0.0365,2.9756,2.4273,1.4701,0.0291,0.3578,0.66,0.0478,0.248,,0.507242303,0.008260328,8.26032806,61.40863695,27,5.26,1900
JB,JBM,1,NP,1,1,SM,0.0265,0.0245,12.1873,0.0417,3.5096,1.3705,0.7058,0.016,0.8704,0.8401,0.0398,0.0297,,0.475913551,0.005855941,5.845941157,82.51645484,26,7.93,1975
JB,JBM,1,NP,1,1,WB,0.0323,0.0237,8.7623,0.063,7.8632,1.8669,0.7451,0.0194,0.7221,0.7855,0.0233,0.2355,,0.510718395,0.00833336,8.343359792,61.76495275,27,4.17,1975
JB,JBM,1,NP,1,1,YB,0.0301,0.0224,11.5485,0.0724,5.9904,2.4869,0.9802,0.0192,1.0829,0.839,0.0314,0.327,,0.505228703,0.010826865,10.82186525,46.73225365,28,4.76,1975
JB,JBM,2,N,1,0,SM,0.0272,0.0269,11.346,0.0514,4.4741,1.3007,0.7801,0.0127,0.2165,0.8661,0.0317,0.0438,,0.48278192,0.006626516,6.651515892,73.3264699,27,6.8,1975
JB,JBM,2,N,1,0,WB,0.0167,0.0337,5.4353,0.058,5.2646,0.8728,0.8911,0.0242,0.316,0.7787,0.0084,0.1814,,0.516174217,0.012106486,12.12148615,42.7217187,28,6.52,1975
JB,JBM,2,N,1,0,YB,0.028,0.0217,9.7076,0.076,6.2081,2.0266,0.838,0.0212,0.3591,0.9192,0.0208,0.2702,,0.50780669,0.014393659,14.37865861,35.65263532,27,4.27,1975
JB,JBM,3,Control,0,0,QA,0.0262,0.0286,22.2342,0.0531,8.3278,1.4868,0.1021,0.0237,0.8498,1.3772,0.0594,0.259,Duplicate,0.494810786,0.009262552,9.242551946,53.50818123,27,4.01,1975
JB,JBM,3,Control,0,0,SM,0.0195,0.0203,16.8705,0.0452,3.4675,1.2205,0.3568,0.0348,0.1843,1.0273,0.0333,0.016,Reran and averaged,0.475442445,0.005154806,5.164806314,92.23850023,26,8.61,1975
JB,JBM,3,Control,0,0,WB,0.0193,0.0204,10.7662,0.0603,8.186,1.6316,0.4004,0.0195,0.3576,0.7751,0.0232,0.1862,,0.502427323,0.008004305,8.014305294,63.17172621,28,5.01,1975
JB,JBM,3,Control,0,0,YB,0.0231,0.0227,15.2775,0.0606,7.4155,2.4793,0.5474,0.028,0.3741,0.9017,0.033,0.2487,,0.498907518,0.010004915,10.00741516,50.0831469,27,4.34,1975
JB,JBM,4,P,0,1,BA,0.0261,0.0179,12.4315,0.0433,5.1973,2.0024,0.2031,0.0138,0.6394,0.9829,0.0375,0.242,,0.509665972,0.006536378,6.546378109,77.99214443,12,5.13,1975
JB,JBM,4,P,0,1,BE,0.0342,0.0147,9.9712,0.0621,4.591,1.5084,0.6131,0.0156,1.1456,0.8592,0.0165,0.0315,,0.480002614,0.006688152,6.688151926,71.79067995,11,1.86,1975
JB,JBM,4,P,0,1,QA,0.0453,0.0173,12.4239,0.0508,6.048,2.214,0.1767,0.0173,1.5732,1.041,0.0349,0.2652,,0.507312945,0.006578657,6.58865699,77.94462083,27,4.89,1975
JB,JBM,4,P,0,1,SM,0.0201,0.0217,17.3867,0.0398,3.2229,1.1467,0.6034,0.0259,1.2085,0.9919,0.0399,0.0397,Reran and averaged,0.474676454,0.005111076,5.106076181,93.02916809,27,6.72,1975
JB,JBM,4,P,0,1,WB,0.0276,0.0287,11.6635,0.0485,6.2395,2.3481,0.5678,0.0229,1.0758,0.6788,0.0208,0.3316,,0.503430776,0.006285422,6.265422296,80.46848253,27,5.01,1975
JB,JBM,4,P,0,1,YB,0.0304,0.0304,15.3186,0.0763,6.7558,3.297,0.8322,0.0259,2.701,0.9557,0.0301,0.3587,,0.495704066,0.008884406,8.889405763,55.79385073,27,4.22,1975
JB,JBM,5,Ca,0,0,SM,0.0163,0.0213,13.9684,0.0363,3.257,1.1637,0.2978,0.0104,0.2085,0.9339,0.0255,0.0199,,0.489378936,0.005309511,5.289511342,92.17073743,27,9.06,1975
JB,JBM,5,Ca,0,0,WB,0.0181,0.019,8.2926,0.0495,4.3795,1.2571,0.3696,0.0287,0.2579,0.5974,0.0132,0.1289,,0.512687739,0.006398463,6.393463179,80.12656428,27,3.49,1975
JB,JBM,5,Ca,0,0,YB,0.0246,0.0272,18.9348,0.0545,8.9638,2.9313,0.5983,0.0292,0.4584,0.9362,0.0361,0.234,,0.489654575,0.009272286,9.262286022,52.83191588,28,4.89,1975
JB,JBO,1,NP,1,1,BE,0.0232,0.0168,7.0119,0.0477,1.8319,1.216,0.6867,0.015,0.5037,0.6966,0.0132,0.0258,,0.499991071,0.007713861,7.708861035,64.83475664,23,4,1900
JB,JBO,1,NP,1,1,SM,0.0255,0.0296,12.8387,0.0452,3.2681,0.9625,1.0014,0.025,0.9581,0.8803,0.037,0.0221,,0.488479881,0.006245659,6.238158597,78.21603357,27,6.82,1900
JB,JBO,1,NP,1,1,YB,0.0192,0.0306,15.0186,0.0464,5.9029,2.1747,1.8146,0.032,1.0186,0.8208,0.0396,0.429,,0.492895751,0.009644337,9.65933742,51.1377516,28,5.56,1900
JB,JBO,2,P,0,1,BE,0.0253,0.0206,8.5336,0.0509,2.5154,1.732,0.6332,0.0171,0.9444,0.9014,0.0191,0.0256,,0.493344489,0.007596915,7.596915395,64.97065458,27,4.42,1900
JB,JBO,2,P,0,1,SM,0.0254,0.0352,12.1176,0.0429,4.0143,0.8331,1.2891,0.0261,1.4724,0.9929,0.0331,0.024,,0.488550891,0.00623007,6.215069791,78.59177363,30,8.07,1900
JB,JBO,2,P,0,1,YB,0.0285,0.0399,13.425,0.0716,8.9471,2.4415,1.779,0.0404,1.7421,0.9505,0.038,0.4243,,0.490461426,0.010319965,10.30496517,47.52342283,30,4.29,1900
JB,JBO,3,N,1,0,BE,0.0297,0.0225,5.6505,0.0688,1.5088,1.3656,0.7266,0.0094,0.4467,0.9638,0.0104,0.0269,,0.517415886,0.010059447,10.03944708,51.43713857,30,5.24,1900
JB,JBO,3,N,1,0,SM,0.0358,0.041,9.5015,0.0557,3.3128,1.0899,1.1816,0.0252,0.2232,0.9719,0.0325,0.0341,,0.485921284,0.006718685,6.733685307,72.32139189,30,6.45,1900
JB,JBO,3,N,1,0,YB,0.0372,0.0262,6.9635,0.0915,6.1034,1.4728,1.0913,0.0278,0.4262,0.8752,0.0187,0.2325,,0.515701865,0.012796706,12.81670648,40.30230878,30,6.2,1900
JB,JBO,4,Control,0,0,BE,0.0259,0.0203,9.0731,0.0473,3.4375,0.8255,0.9162,0.0145,0.2206,0.9379,0.0126,0.0291,,0.49858273,0.007290348,7.265348309,68.39303445,27,3.58,1900
JB,JBO,4,Control,0,0,SM,0.0193,0.0245,10.1852,0.0322,3.8181,0.837,1.0257,0.0202,0.1824,0.8542,0.0258,0.0331,,0.489916824,0.0051029,5.112900077,96.00610033,39,8.56,1900
JB,JBO,4,Control,0,0,YB,0.029,0.0331,14.8902,0.0681,6.0492,2.8329,1.9582,0.029,0.4179,0.9802,0.027,0.4659,,0.495286144,0.009173282,9.193282475,54.16481098,27,4.55,1900
JB,JBO,5,Ca,0,0,BE,0.0283,0.0178,8.649,0.0594,2.17,1.2277,0.8972,0.0173,1.2742,0.9382,0.02,0.0304,Reran and averaged,0.499036738,0.009464949,9.454949115,52.72654342,30,5.47,1900
JB,JBO,5,Ca,0,0,SM,0.0192,0.0419,14.3874,0.034,2.5883,0.8216,1.22,0.0172,0.2889,0.8957,0.0414,0.0432,Duplicate,0.482111776,0.005532114,5.512114234,87.17066045,30,8.12,1900
JB,JBO,5,Ca,0,0,YB,0.0193,0.0431,13.0431,0.0528,5.1749,1.5607,2.8661,0.0508,1.0784,0.8827,0.0264,0.3716,Reran and averaged,0.500546435,0.009462907,9.442907311,52.89000751,30,5.49,1900
