Site,Stand,Plot,Species,Date,N,C,S,CN,Ca,K,Mg,Mn,P,Sr,Comments
BEF,C1,1,BE,10/12/2009,8.99,479.26,NA,53.31764728,12.18110002,7.400747739,1.537640686,1.338667238,0.394306244,0.03336386,
BEF,C1,1,PC,10/12/2009,13.64,502.75,NA,36.86199611,10.54219479,9.04155098,2.711867858,0.089557251,0.790668006,0.026593556,
BEF,C1,1,PC,10/12/2009,14.9,503.19,NA,33.77504943,10.77950016,8.663170512,2.301302746,0.073251586,0.858973542,0.032252705,
BEF,C1,1,WB,10/12/2009,8.62,496.92,NA,57.63313401,12.10127039,6.783744428,1.781766206,1.498769472,0.380717122,0.039993682,
BEF,C1,1,YB,10/12/2009,11.58,496.51,NA,42.86503078,10.82990043,4.444202289,1.995411731,2.616374677,0.403524946,0.025067345,
BEF,C1,2,RM,10/12/2009,7.15,481.37,NA,67.31330427,10.58300541,6.677248824,1.494639993,1.413504986,0.414323515,0.018687878,
BEF,C1,2,WB,10/12/2009,9.45,504.28,NA,53.37232454,9.598013119,6.219956704,1.830428348,2.340068463,0.476152321,0.019442678,
BEF,C1,2,YB,10/12/2009,10.79,478.61,NA,44.35030488,11.30516361,6.354260991,2.12333031,3.896475936,0.532199901,0.019746066,
BEF,C1,3,BE,10/12/2009,11.13,479.01,NA,43.0318523,6.69595218,7.265016488,0.86712775,1.603717298,0.54585281,0.010386186,
BEF,C1,3,PC,10/12/2009,14.85,498.6,NA,33.56423942,10.25663501,8.925665708,2.224862365,0.065929455,0.937006481,0.028788519,
BEF,C1,3,RM,10/12/2009,6.01,483.31,NA,80.42476938,11.05739471,3.90936991,1.718799552,1.408256757,0.333702405,0.026108853,
BEF,C1,3,SM,10/12/2009,9.72,475.78,NA,48.93169421,12.83882726,7.289670124,1.635725501,0.916180383,0.375374252,0.055036562,
BEF,C1,3,WB,10/12/2009,11.82,503.28,NA,42.57227783,10.50311125,6.645334284,1.96415204,2.41049726,0.488521372,0.027077172,
BEF,C1,4,BE,10/12/2009,9.31,478.11,NA,51.37182969,6.380320879,7.058893504,0.826900153,1.610785099,0.500832498,0.006157081,
BEF,C1,4,PC,10/12/2009,15.19,505.49,NA,33.26802062,9.92583325,9.419117984,1.940644531,0.14766666,0.916611446,0.018174885,
BEF,C1,4,RM,10/12/2009,6.03,477.01,NA,79.05242912,11.17761561,5.037263056,1.3849967,2.576993596,0.353022422,0.014774203,
BEF,C1,4,WB,10/12/2009,9.57,502.57,NA,52.53859085,11.64087079,5.230563097,1.714814267,3.138261005,0.388536036,0.020963098,
BEF,C2,1,BE,10/12/2009,8.37,480.48,NA,57.40677736,8.778404332,6.18866366,0.849314553,2.0944734,0.379427998,0.018432072,
BEF,C2,1,RM,10/12/2009,4.74,486.15,NA,102.5346648,10.83347904,2.814318232,1.272665957,1.431434139,0.291006461,0.028656198,
BEF,C2,1,RM,10/12/2009,4.43,483.12,NA,109.0491141,11.44151967,2.752587783,1.235191948,1.396167927,0.273454914,0.031607786,
BEF,C2,1,WB,10/12/2009,6.1,507.86,NA,83.29125897,8.510072098,3.780624289,1.547389029,2.216612609,0.299511084,0.022318412,
BEF,C2,2,ASH,10/12/2009,7.87,471.25,NA,59.86240042,18.94653534,9.749880439,1.255341862,0.118417367,0,0.056202065,
BEF,C2,2,BE,10/12/2009,8.8,471.25,NA,53.57687456,7.230946763,6.464772525,1.213080104,2.270699016,0,0.009169213,
BEF,C2,2,PC,10/12/2009,10.62,500.6,NA,47.11818971,10.25553581,7.682864698,2.333561409,0.093819069,0.577114061,0.020408024,
BEF,C2,2,RM,10/12/2009,6.14,485.81,NA,79.14817535,10.82502983,4.06507492,1.292170441,2.526792366,0.300027418,0.016102353,
BEF,C2,2,WB,10/12/2009,9.08,502.9,NA,55.40108047,9.296761589,7.175384414,1.622847128,2.418209085,0.269990172,0.015616226,
BEF,C2,2,YB,10/12/2009,9.63,486.16,NA,50.47261392,10.1192223,7.09357698,1.899050968,3.541107225,0.323845963,0.017266677,
BEF,C2,3,BE,10/12/2009,8.34,473.11,NA,56.73196772,8.784052312,6.494976857,0.966938528,2.340927001,0.327183134,0.010407221,
BEF,C2,3,RM,10/12/2009,6.04,491.45,NA,81.36836195,9.418754737,4.443920577,1.200976179,1.414566343,0.337639644,0.013441384,
BEF,C2,3,WB,10/12/2009,8.74,501.63,NA,57.41662007,10.6477147,6.055400619,2.001691634,2.64512166,0.343857143,0.0212759,
BEF,C2,3,YB,10/12/2009,6.8,376.24,NA,55.29969127,15.23272152,7.419540929,3.201236085,3.748375734,0.362646985,0.037694156,
BEF,C2,4,BE,10/12/2009,10.6,476.41,NA,44.9655863,8.608987001,5.664916917,0.953780333,1.842914909,0.498467462,0.014687864,
BEF,C2,4,RM,10/12/2009,5.55,483.66,NA,87.22199135,10.19797244,4.339596818,1.445566838,1.518687668,0.311101399,0.020680879,
BEF,C2,4,WB,10/12/2009,7.48,506.11,NA,67.6878868,9.213920135,5.056731874,1.831181769,2.415997379,0,0.019107121,
BEF,C4,1,BTASP,10/12/2009,10.58,511.31,NA,48.32391591,7.261015358,7.838085229,0.725520205,0.613056004,0.399881075,0.019444414,
BEF,C4,1,PC,10/12/2009,15.07,494.75,NA,32.82493721,9.428798421,10.36836406,1.973743047,0.085584394,0.861675811,0.029252429,
BEF,C4,1,RM,10/12/2009,7.34,491.64,NA,66.96753669,9.717078956,5.439484054,1.695502656,0.950291501,0.358484242,0.019147284,
BEF,C4,1,WB,10/12/2009,9.3,502.15,NA,53.97513834,8.127668241,6.910888706,1.660914873,1.32590637,0.306290403,0.018546604,
BEF,C4,1,WB,10/12/2009,9.45,504.23,NA,53.38511054,8.297936129,6.837259427,1.662222406,1.37584767,0.27530889,0.019181,
BEF,C4,2,BE,10/12/2009,12.7,486.65,NA,38.32651297,6.970254272,6.759797396,0.741403589,2.25564346,0.515681931,0.010098741,
BEF,C4,2,BTASP,10/12/2009,11.14,516.17,NA,46.32982417,6.882516742,6.774232149,0.637024013,0.865877806,0.442506278,0.018440593,
BEF,C4,2,RM,10/12/2009,9.85,495.57,NA,50.32387176,6.706682876,4.963898436,1.439364417,1.487390701,0.503279053,0.011493459,Remeasured in 2023; results are average of 2009 and 2023 data
BEF,C4,2,WB,10/12/2009,9.2,503.45,NA,54.74729088,8.044208064,7.101849989,1.537856339,2.287214461,0.328469945,0.0169824,
BEF,C4,2,WB,10/12/2009,9.15,510.67,NA,55.78136352,8.957231264,7.368260614,1.604381477,1.871738964,0.346076615,0.027211377,
BEF,C4,2,WB,10/12/2009,10.18,506.49,NA,49.7571387,9.051163436,5.953542777,1.655832411,2.430446178,0.32541501,0.020295338,
BEF,C4,2,YB,10/12/2009,10.3,494.08,NA,47.96657875,9.572068178,7.220451256,1.816858401,2.776914654,0.340647733,0.021998316,
BEF,C4,3,ASH,10/12/2009,10.23,489.08,NA,47.81495984,10.93019118,7.38944878,1.579005929,0.110131381,0.392379518,0.036887109,
BEF,C4,3,RM,10/12/2009,7.09,493.49,NA,69.64204928,9.093225092,4.438216055,1.313262192,1.639276686,0.318167001,0.020828396,
BEF,C4,3,WB,10/12/2009,9.95,509.43,NA,51.18512792,9.340095283,7.644507559,1.679596553,2.072675826,0.367849599,0.028290447,
BEF,C4,3,YB,10/12/2009,9.18,485.88,NA,52.93373982,11.46175141,6.156899134,2.287919053,3.236144698,0.387296627,0.029254028,
BEF,C4,4,BE,10/12/2009,9.79,488.71,NA,49.89803344,7.751019907,6.948522511,0.704297756,2.911353179,0.38990005,0.014079571,
BEF,C4,4,PC,10/12/2009,18.15,497.47,NA,27.40157531,6.79787516,10.2392783,1.799166303,0.179728373,1.366245211,0.016613258,
BEF,C4,4,RM,10/12/2009,5.99,488.42,NA,81.49382,9.533825551,3.392595279,1.041741088,2.484782767,0.253211624,0.022609772,
BEF,C4,4,WB,10/12/2009,8.06,509.99,NA,63.28079006,8.05996526,4.789252285,1.357491115,2.517060628,0.327496233,0.020974546,
BEF,C4,4,YB,10/12/2009,9.57,489.14,NA,51.09009544,11.79687354,4.459922762,1.952954451,3.842841014,0.366515984,0.030367693,
BEF,C6,1,BE,10/12/2009,13.81,485.27,NA,35.13824123,7.057245852,4.193326917,0.98064684,0.802001935,0.542589193,0.012153929,
BEF,C6,1,RM,10/12/2009,8.45,497.42,NA,58.85110805,8.057134657,4.253676288,0.869208049,1.303922932,0.408353444,0.015293449,
BEF,C6,1,WB,10/12/2009,11.2,514.5,NA,45.9447768,8.428146729,6.806577223,1.120158087,1.492653342,0.325044488,0.020457178,
BEF,C6,2,BE,10/12/2009,10.49,489.57,NA,46.67191051,10.46033876,5.855923833,1.404966412,2.410038464,0.344488505,0.01789282,
BEF,C6,2,PC,10/12/2009,11.85,505.28,NA,42.64122048,11.48300941,6.433872879,1.569855476,0.206736939,0.544597869,0.025507114,
BEF,C6,2,RM,10/12/2009,8.32,500.8,NA,60.19909826,8.831431724,4.194595019,0.785934272,1.415591303,0.3753901,0.013992311,
BEF,C6,2,SM,10/12/2009,8.59,487.38,NA,56.74859345,8.665437912,4.54777211,0.672708474,1.808049865,0.244226142,0.021020259,
BEF,C6,2,WB,10/12/2009,11.73,502.71,NA,42.85063197,11.71724127,4.316495088,1.564459625,2.690623021,0.317743715,0.023488047,
BEF,C6,2,WB,10/12/2009,10.82,512.26,NA,47.36067475,8.7996756,5.999190048,1.382355807,1.916109393,0.293723926,0.017336739,
BEF,C6,2,YB,10/12/2009,12.19,490.67,NA,40.24310436,12.45887761,5.356194338,1.830143548,2.698920924,0.347523117,0.025674439,
BEF,C6,3,ASH,10/12/2009,9.31,478.05,NA,51.36585971,16.46610093,6.822453415,1.504852644,0.188601188,0.414076977,0.045601815,
BEF,C6,3,BE,10/12/2009,10.57,492.3,NA,46.57714225,9.605936294,3.780781006,1.010998978,1.836880203,0.370363629,0.017594987,
BEF,C6,3,PC,10/12/2009,16.42,503.26,NA,30.64507849,13.29499742,5.123361842,1.96792391,0.316806287,0.813780783,0.030163066,
BEF,C6,3,RM,10/12/2009,6.79,494.65,NA,72.82909201,10.89161883,3.717163077,1.040650753,1.835420435,0.306374165,0.02023392,
BEF,C6,3,RM,10/12/2009,7.24,494.52,NA,68.30212518,10.23774522,3.501757045,1.029358672,1.794319628,0.303104601,0.017609488,
BEF,C6,3,SM,10/12/2009,11.35,496.32,NA,43.74718011,5.936060835,2.952529955,0.596203897,1.34195077,0.5389125,0.012649841,
BEF,C6,3,WB,10/12/2009,12.21,514.66,NA,42.16230522,9.416888392,5.703294766,1.150112743,2.273861365,0.334624298,0.020311303,
BEF,C6,3,YB,10/12/2009,12.05,493.21,NA,40.93976469,13.74109987,5.149636702,1.935447134,3.606202855,0.379301452,0.030186044,
BEF,C6,4,BE,10/12/2009,11.88,486.71,NA,40.95958959,8.063860539,5.499728597,0.993913587,2.003672992,0.528085742,0.011650579,
BEF,C6,4,RM,10/12/2009,7.33,484.66,NA,66.14471112,11.72263285,3.696762969,0.984881501,2.18724311,0.300217295,0.020134767,
BEF,C6,4,SM,10/12/2009,9.95,481.66,NA,48.38517445,9.28702975,4.588551205,0.754152836,2.552215448,0.315965834,0.025624854,
BEF,C6,4,WB,10/12/2009,11.85,493.34,NA,41.63991179,11.9757463,5.048475815,1.900111946,3.200044849,0.350358934,0.026042569,
BEF,C6,4,WB,10/12/2009,10.73,503.75,NA,46.93264812,10.06984779,4.859600241,1.488915765,3.000748335,0.283548226,0.021782859,
BEF,C6,4,YB,10/12/2009,11.82,499.4,NA,42.24769796,10.74419749,5.282108162,1.683709446,2.827512607,0.30583476,0.022156348,
BEF,C6,,WB,10/12/2009,12.35,504.17,NA,40.8198316,10.80989942,6.020129179,1.476324421,2.059322433,0.335710475,0.024993187,
BEF,C8,3,ASH,10/12/2009,8.64,485.85,NA,56.21396054,15.44740336,5.265273498,2.253596283,0.1536569,0.508953948,0.055259832,
BEF,C8,3,BE,10/12/2009,8.68,487.31,NA,56.11261654,7.947662194,4.608147106,1.084645602,2.025732071,0.666477988,0.02177525,
BEF,C8,3,RM,10/12/2009,7.97,498.94,NA,62.59006308,7.108131489,4.850100471,1.090892212,1.323377998,1.112698134,0.015931207,Remeasured in 2023; results are average of 2009 and 2023 data
BEF,C8,3,SM,10/12/2009,5.02,490.11,NA,97.66223464,7.62686533,3.839997067,0.505404487,2.324896204,0.343648477,0.02949935,
BEF,C8,3,YB,10/12/2009,9.06,488.1,NA,53.86723951,14.57774848,6.074124741,2.650802744,4.086510854,1.016559247,0.047496995,Remeasured in 2023; results are average of 2009 and 2023 data
BEF,C8,4,ASH,10/12/2009,7.94,490.65,NA,61.82345372,10.25621972,7.166668692,1.159017368,0.138772646,0.283611754,0.01951435,
BEF,C8,4,BE,10/12/2009,8.05,495.09,NA,61.5371016,8.165310373,3.687801453,0.870759144,2.327085197,0.196362097,0.013914149,
BEF,C8,4,BE,10/12/2009,8.28,495.82,NA,59.86409036,7.627339759,3.825041505,0.84227862,2.165863534,0.238973777,0.012973123,
BEF,C8,4,SM,10/12/2009,6.6,496.9,NA,75.31039347,6.603555501,3.817672543,0.480544443,2.101513304,0.234621399,0.015078015,
BEF,C8,4,YB,10/12/2009,10.2,489.49,NA,47.98234174,11.49769702,6.598167348,2.14962829,3.881987458,0.3546892,0.021413158,
BEF,C9,1,BE,10/12/2009,9.24,491.66,NA,53.18750326,6.619592114,4.744054164,1.033854004,1.186701615,0.332377716,0.010663598,
BEF,C9,1,SM,10/12/2009,7.35,506.12,NA,68.84753597,7.089364802,3.996326311,0.547916907,1.335979985,0.221649326,0.020516648,
BEF,C9,1,SM,10/12/2009,7.83,493.26,NA,63.01934855,8.513974359,4.022820138,0.649506029,1.440991032,0.229306675,0.030015597,
BEF,C9,1,YB,10/12/2009,12.13,496.18,NA,40.90596125,12.68911304,5.504526965,1.991346361,2.353778183,0.338752698,0.030844519,
BEF,C9,3,ASH,10/12/2009,11.46,499.81,NA,43.62991257,8.096880772,5.740428876,0.846780679,0.089267975,0.356090907,0.014723591,
BEF,C9,3,BE,10/12/2009,12.61,507.03,NA,40.20013447,6.759624354,5.114518211,0.749275187,1.572427251,0.402421514,0.009287021,
BEF,C9,3,SM,10/12/2009,6.42,497.24,NA,77.45227346,7.200377093,3.365071695,0.38445532,1.348432088,0.18582096,0.017944768,
BEF,C9,3,SM,10/12/2009,6.39,497.56,NA,77.92115116,7.20871814,3.292398344,0.386191484,1.427255179,0.20683215,0.017376181,
BEF,C9,3,YB,10/12/2009,11.66,487.83,NA,41.84806613,13.41061395,7.294620648,1.939330515,3.803493768,0.332511378,0.025387917,
BEF,C9,4,BE,10/12/2009,9.07,501.12,NA,55.26921775,6.58244593,3.407655179,0.699831426,1.874716161,0.305240441,0.012885576,
BEF,C9,4,BE,10/12/2009,9.03,501.82,NA,55.60179249,6.926508325,3.695280547,0.693885569,1.884253757,0.337718379,0.013970515,
BEF,C9,4,SM,10/12/2009,6.36,495.83,NA,77.9826743,7.204383144,3.160359871,0.680321449,1.79250714,0.212183795,0.021150682,
BEF,C9,4,SM,10/12/2009,6.62,496.06,NA,74.88277518,6.524074539,3.242797014,0.479052587,1.857370316,0.219091432,0.016890467,
BEF,C9,4,YB,10/12/2009,11.38,482.24,NA,42.3713546,15.74210679,5.484301814,2.511746212,4.341229163,0.402900075,0.038918001,
HB,HBO,1,YB,10/16/2009,11.7,501.14,NA,42.82522646,10.76756495,2.014337489,2.826631907,1.582048041,0.424919256,0.039739589,
HB,HBO,2,BE,10/16/2009,10.63,516.14,NA,48.55393619,6.500677135,1.199275719,1.371622457,0.812648021,0.357253465,0.022351261,
HB,HBO,2,SM,10/16/2009,7.76,488.71,NA,62.94012371,5.605137381,3.163915711,1.226347309,1.216545869,0.287606343,0.01660801,
HB,HBO,2,SM,10/16/2009,6.77,502.75,NA,74.25338349,5.253899917,3.149795075,0.69218593,1.263067955,0.284312878,0.018698873,
HB,HBO,2,YB,10/16/2009,12.6,499.44,NA,39.65016283,10.47721649,1.863449745,2.797480161,2.149742837,0.488063151,0.033784626,
HB,HBO,2,YB,10/16/2009,13.35,496.94,NA,37.22800177,12.0975948,3.239406308,3.106147366,2.399370059,0.511209861,0.042964694,
HB,HBO,2,YB,10/16/2009,13.31,500.69,NA,37.62538816,10.64350387,2.298024326,2.994994883,2.055356861,0.521127262,0.036593885,
HB,HBO,3,RM,10/16/2009,7.41,490.92,NA,66.27912293,7.308972762,3.573871286,1.757236995,1.182768774,0.427775511,0.011741195,
HB,HBO,3,RM,10/16/2009,8.23,494.28,NA,60.04732941,7.387508213,3.634930089,1.643436401,1.142606876,0.428669343,0.010425866,second sample (RM#2)
HB,HBO,3,YB,10/16/2009,14.18,500.55,NA,35.30063827,10.55881495,3.308313378,2.597414387,2.081992208,0.644180771,0.029850935,
HB,HBO,4,SM,10/16/2009,7.87,510.31,NA,64.80462464,5.134355544,2.076105304,0.812922589,1.493865184,0.273170343,0.019222907,
HB,HBM,1,SM,10/16/2009,8.29,489.64,NA,59.07482174,6.528838811,5.70631925,0.925746837,1.774971081,0.307617256,0.025045781,
HB,HBM,1,WB,10/16/2009,12.32,512.85,NA,41.61492741,7.436392774,5.224309011,1.215769055,1.779508956,0.501506219,0.022518171,
HB,HBM,1,YB,10/16/2009,12.47,490.18,NA,39.29653051,11.25654225,6.059053982,1.991365054,3.067333131,0.534461648,0.037083882,
HB,HBM,2,QASP,10/16/2009,17.3,511.41,NA,29.55355663,5.964362471,6.228072819,1.137928129,0.661285928,0.821204105,0.020880821,
HB,HBM,2,RM,10/16/2009,7.81,496.28,NA,63.54669511,9.07274106,2.729790356,1.355685713,2.438466956,0.349182577,0.019426795,
HB,HBM,2,SM,10/16/2009,9.51,489.67,NA,51.49896056,6.717866762,4.18175084,0.718827287,2.164359611,0.349600023,0.023041987,
HB,HBM,2,WB,10/16/2009,11.15,511.14,NA,45.8368173,5.933001779,3.379845089,0.912858125,1.179658212,0.396177182,0.02071394,
HB,HBM,2,YB,10/16/2009,13.65,497.81,NA,36.47812307,10.59711458,5.159150479,1.728295666,2.693547607,0.596204973,0.037560366,
HB,HBM,3,QASP,10/16/2009,18.1,517.56,NA,28.58931811,6.109028031,6.489692645,1.332859534,0.616550899,0.753268211,0.024083598,
HB,HBM,3,RM,10/16/2009,7.54,497.91,NA,66.06449138,8.402666415,2.345551299,1.142396709,1.777045858,0.390660248,0.021128631,
HB,HBM,3,WB,10/16/2009,11.9,513.86,NA,43.18103197,6.627847579,4.689458979,1.079737501,1.524861038,0.519925756,0.021736515,
HB,HBM,3,YB,10/16/2009,13.33,501.33,NA,37.59966184,10.55265245,4.898471615,1.924271512,2.521472191,0.587507535,0.036488636,
HB,HBM,4,SM,10/16/2009,8.83,491.72,NA,55.71393021,11.0444917,4.129549324,1.152060098,0.643060184,0.264095267,0.025261157,
HB,HBM,4,SM,10/16/2009,10.16,494.38,NA,48.67472827,6.531088938,4.57237489,0.845037415,2.17493547,0.418278975,0.023004953,
HB,HBM,4,WB,10/16/2009,13.23,509.06,NA,38.47727915,8.657648099,7.835790126,1.1708088,1.64002714,0.414608259,0.032208581,
HB,HBM,4,YB,10/16/2009,13.19,497,NA,37.67953927,9.697990312,5.318026761,1.675144835,2.716505341,0.579219965,0.030008973,
JB,JBO,1,SM,10/16/2009,8.1,479.7,NA,59.20114412,15.3601194,4.698976021,1.180450721,0.753503361,0.273899024,0.037442943,
JB,JBO,2,SM,10/16/2009,8.67,481.32,NA,55.50968519,11.1410983,5.076583967,1.134359178,1.059687977,0.288688243,0.035272525,
JB,JBO,2,YB,10/16/2009,13.21,494.76,NA,37.45669215,16.04465023,7.976334458,2.127780501,1.337084422,0.411895403,0.035086529,
JB,JBO,3,SM,10/16/2009,9.03,486.21,NA,53.86635469,9.776226075,3.469911497,1.044172373,1.429528206,0.340845585,0.031235073,
JB,JBM,1,SM,10/16/2009,8.87,480.01,NA,54.10525147,12.980457,6.385819568,1.247552507,0.849726226,0.345748881,0.036876617,
JB,JBM,1,YB,10/16/2009,13.16,492.64,NA,37.4268392,10.88755349,7.373683301,1.808091548,0.935141056,0.454016768,0.023513036,
JB,JBM,3,QASP,10/16/2009,15.34,502.63,NA,32.77527269,19.13414034,7.021718161,1.097970045,0.076333105,0.82599005,0.046785139,
JB,JBM,3,SM,10/16/2009,9.97,479.15,NA,48.04307717,16.74790523,6.546354402,1.268854228,0.302480057,0.326596658,0.037923762,
JB,JBM,3,WB,10/16/2009,14.36,507.15,NA,35.31110895,13.79127119,8.831334387,1.867103425,0.318379927,0.559727216,0.027632699,
JB,JBM,3,YB,10/16/2009,15.33,497.09,NA,32.42704179,13.35467284,7.482564524,2.015586912,0.402326811,0.584600025,0.028050319,
JB,JBM,4,QASP,10/16/2009,14.16,508.75,NA,35.93147142,11.19174164,5.841435477,2.00055308,0.130352771,0.590209896,0.02828381,
JB,JBM,4,STM,10/16/2009,10.44,477.47,NA,45.74288907,16.74143533,8.197697301,2.482241099,1.21284297,0.469811868,0.034413386,
JB,JBM,4,YB,10/16/2009,13.44,498.25,NA,37.06689398,11.56516379,6.331687399,2.164367168,0.686492879,0.477517572,0.022219915,
JB,JBM,,WB,10/16/2009,13.77,512.85,NA,37.23419891,10.39846082,7.32515042,1.751006763,0.8650573,0.5122254,0.022136713,
